timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583796108999,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109004,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109008,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109013,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109017,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109021,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109025,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109030,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109035,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109040,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109046,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109051,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109056,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109061,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109065,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109070,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109075,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796109080,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109084,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109088,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109093,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
1583796109098,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109102,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796109106,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,0
1583796109108,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,220,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,4,0,1
1583796109111,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109113,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,220,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,5,0,1
1583796109116,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796109118,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-2,text,false, ,345,220,2,2,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,4,0,1
